date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
10/13/2014,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650
2/25/2015,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,1933,0.0,98028,47.7379,-122.23299999999999,2720,8062
12/9/2014,4,3.0,1960,5000,1.0,0.0,0.0,5,7,1050,910.0,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000
2/18/2015,3,2.0,1680,8080,1.0,0.0,0.0,3,8,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503
6/27/2014,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819
1/15/2015,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711
4/15/2015,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113
3/12/2015,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570
5/27/2014,2,1.0,1160,6000,1.0,0.0,0.0,4,7,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000
5/28/2014,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697
10/7/2014,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208
3/12/2015,5,2.0,1810,4850,1.5,0.0,0.0,3,7,1810,0.0,1900,0.0,98107,47.67,-122.39399999999999,1360,4850
7/31/2014,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018
5/29/2014,4,1.0,1600,4300,1.5,0.0,0.0,4,7,1600,0.0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300
12/5/2014,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095
4/24/2015,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850
5/14/2014,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980
