,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,renovated,MHI
0,3.0,1.0,1180.0,5650.0,1.0,0.0,0.0,3,7,1180.0,0.0,1955,98178,47.5112,-122.257,1340.0,5650.0,0,101333.0
1,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3,7,2170.0,400.0,1951,98125,47.721000000000004,-122.319,1690.0,7639.0,1,74818.0
2,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3,6,770.0,0.0,1933,98028,47.7379,-122.23299999999999,2720.0,8062.0,0,130139.0
3,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5,7,1050.0,910.0,1965,98136,47.5208,-122.39299999999999,1360.0,5000.0,0,145022.0
4,3.0,2.0,1680.0,8080.0,1.0,0.0,0.0,3,8,1680.0,0.0,1987,98074,47.6168,-122.045,1800.0,7503.0,0,176950.0
5,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3,11,3890.0,1530.0,2001,98053,47.6561,-122.005,4760.0,101930.0,0,154574.0
6,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3,7,1715.0,0.0,1995,98003,47.3097,-122.32700000000001,2238.0,6819.0,0,62132.0
7,3.0,1.5,1060.0,9711.0,1.0,0.0,0.0,3,7,1060.0,0.0,1963,98198,47.4095,-122.315,1650.0,9711.0,0,87375.0
8,3.0,1.0,1780.0,7470.0,1.0,0.0,0.0,3,7,1050.0,730.0,1960,98146,47.5123,-122.337,1780.0,8113.0,0,40125.0
9,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3,7,1890.0,0.0,2003,98038,47.3684,-122.031,2390.0,7570.0,0,124185.0
10,3.0,2.5,3560.0,9796.0,1.0,0.0,0.0,3,8,1860.0,1700.0,1965,98007,47.6007,-122.145,2210.0,8925.0,0,77424.0
11,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4,7,860.0,300.0,1942,98115,47.69,-122.292,1330.0,6000.0,0,131597.0
12,3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,4,7,1430.0,0.0,1927,98028,47.7558,-122.229,1780.0,12697.0,0,108059.0
13,3.0,1.75,1370.0,9680.0,1.0,0.0,0.0,4,7,1370.0,0.0,1977,98074,47.6127,-122.045,1370.0,10208.0,0,152332.0
14,5.0,2.0,1810.0,4850.0,1.5,0.0,0.0,3,7,1810.0,0.0,1900,98107,47.67,-122.39399999999999,1360.0,4850.0,0,104979.0
