Description,RMSE training,RMSE test,R-squared training,R-squared test,Adjusted R-squared training,Adjusted R-squared test,Average R-squared 10-Fold Cross Validation,Standard deviation of average R-squared Cross Validation
multilinear,158754.182,160989.031,0.814,0.803,0.814,0.803,0.811,0.019
multilinear-log,179595.434,184549.533,0.762,0.741,0.762,0.741,0.759,0.031
multilinear-log-minmax,179593.545,184549.945,0.762,0.741,0.762,0.741,0.759,0.031
multilinear-log-robscal,179595.328,184551.438,0.762,0.741,0.762,0.741,0.759,0.031
multilinear-log-std,179594.841,184553.605,0.762,0.741,0.762,0.741,0.759,0.031
multilinear_6cat,158951.401,161825.940,0.814,0.801,0.814,0.801,0.811,0.020
multilinear_6cat-log,180368.800,185186.824,0.760,0.739,0.760,0.739,0.759,0.034
multilinear_6cat-log-minmax,180368.951,185186.626,0.760,0.739,0.760,0.739,0.759,0.034
multilinear_6cat-log-robscal,180368.925,185186.427,0.760,0.739,0.760,0.739,0.759,0.034
multilinear_6cat-log-std,180368.417,185185.776,0.760,0.739,0.760,0.739,0.759,0.034
multilinear_mul,159170.282,161612.839,0.813,0.801,0.813,0.801,0.810,0.018
multilinear_mul-log,180769.816,185361.722,0.759,0.739,0.759,0.739,0.756,0.031
multilinear_mul-log-minmax,180774.079,185367.519,0.759,0.739,0.759,0.739,0.756,0.031
multilinear_mul-log-robscal,180770.879,185360.214,0.759,0.739,0.759,0.739,0.756,0.031
multilinear_mul-log-std,180770.064,185367.360,0.759,0.739,0.759,0.739,0.756,0.031
multilinear_6cat_mul,159175.891,161953.745,0.813,0.801,0.813,0.801,0.810,0.020
multilinear_6cat_mul-log,181570.461,186192.720,0.757,0.736,0.757,0.736,0.755,0.034
multilinear_6cat_mul-log-minamx,181570.209,186192.520,0.757,0.736,0.757,0.736,0.755,0.034
multilinear_6cat_mul-log-robscal,181570.240,186191.996,0.757,0.736,0.757,0.736,0.755,0.034
multilinear_6cat_mul-log-std,181570.596,186193.089,0.757,0.736,0.757,0.736,0.755,0.034
multilinear_mul_vif,268133.898,275869.326,0.471,0.422,0.471,0.422,0.463,0.019
multilinear_mul_vif-log,206059.162,215348.802,0.687,0.647,0.687,0.647,0.684,0.018
multilinear_mul_vif-log-minmax,206059.162,215348.802,0.687,0.647,0.687,0.647,0.684,0.018
multilinear_mul_vif-log-robscal,206059.162,215348.802,0.687,0.647,0.687,0.647,0.684,0.018
multilinear_mul_vif-log-std,206059.162,215348.802,0.687,0.647,0.687,0.647,0.684,0.018
multilinear_6_cat_mul_vif,280935.642,288983.283,0.419,0.365,0.419,0.365,0.414,0.017
multilinear_6_cat_mul_vif-log,207039.656,215286.053,0.684,0.648,0.684,0.648,0.682,0.021
multi-log-minmax,207039.656,215286.053,0.684,0.648,0.684,0.648,0.682,0.021
multilinear_6_cat_mul_vif-log-robscal,207039.656,215286.053,0.684,0.648,0.684,0.648,0.682,0.021
multilinear_6_cat_mul_vif-log-std,207039.656,215286.053,0.684,0.648,0.684,0.648,0.682,0.021
multilinear_noout,92355.216,94689.573,0.839,0.827,0.839,0.827,0.836,0.009
multilinear_noout-log,96603.618,99867.360,0.823,0.807,0.823,0.807,0.821,0.010
multilinear_noout-log-minmax,96603.507,99867.335,0.823,0.807,0.823,0.807,0.821,0.010
multilinear_noout-log-robscal,96603.628,99867.451,0.823,0.807,0.823,0.807,0.821,0.010
multilinear_noout-log-std,96603.657,99867.670,0.823,0.807,0.823,0.807,0.821,0.010
multilinear_6cat_noout,92403.766,94744.263,0.838,0.826,0.838,0.826,0.836,0.009
multilinear_6cat_noout-log,96331.367,99564.465,0.824,0.808,0.824,0.808,0.822,0.009
multilinear_6cat_noout-log-minamax,96330.739,99563.720,0.824,0.808,0.824,0.808,0.822,0.009
multilinear_6cat_noout-log-robscal,96332.223,99566.182,0.824,0.808,0.824,0.808,0.822,0.009
multilinear_6cat_noout-log-std,96331.362,99565.622,0.824,0.808,0.824,0.808,0.822,0.009
multilinear_mul_noout,92513.154,94962.262,0.838,0.826,0.838,0.826,0.836,0.010
multilinear_mul_noout-log,97672.601,101453.073,0.819,0.801,0.819,0.801,0.817,0.010
multilinear_mul_noout-log-minmax,97672.599,101453.014,0.819,0.801,0.819,0.801,0.817,0.010
multilinear_mul_noout-log-robscal,97672.644,101453.087,0.819,0.801,0.819,0.801,0.817,0.010
multilinear_mul_noout-log-std,97672.615,101453.079,0.819,0.801,0.819,0.801,0.817,0.010
multilinear_6cat_mul_noout,92574.347,95017.705,0.838,0.825,0.838,0.825,0.836,0.010
multilinear_6cat_mul_noout-log,97452.618,101320.192,0.820,0.802,0.820,0.802,0.818,0.010
multilinear_6cat_mul_noout-log-minmax,97452.998,101320.620,0.820,0.802,0.820,0.802,0.818,0.010
multilinear_6cat_mul_noout-log-robscal,97452.603,101319.895,0.820,0.802,0.820,0.802,0.818,0.010
multilinear_6cat_mul_noout-log-std,97451.974,101319.111,0.820,0.802,0.820,0.802,0.818,0.010
multilinear_mul_noout_vif,171841.992,168447.087,0.441,0.451,0.441,0.451,0.438,0.019
multilinear_mul_noout_vif-log,126873.793,126793.498,0.695,0.689,0.695,0.689,0.694,0.017
multilinear_out_mul_vif-log-minmax,126873.793,126793.498,0.695,0.689,0.695,0.689,0.694,0.017
