,Description,RMSE training,RMSE test,R-squared training,R-squared test,Adjusted R-squared training,Adjusted R-squared test,Average R-squared 10-Fold Cross Validation,Standard deviation of average R-squared Cross Validation
0,multilinear,158153.862,160889.705,0.816,0.803,0.816,0.803,0.811,0.018
0,multilinear-log,177843.434,182460.816,0.767,0.747,0.767,0.747,0.763,0.031
0,multilinear-log-minmax,177843.434,182460.816,0.767,0.747,0.767,0.747,0.763,0.031
0,multilinear-log-robscal,177843.434,182460.816,0.767,0.747,0.767,0.747,0.763,0.031
0,multilinear-log-std,177843.434,182460.816,0.767,0.747,0.767,0.747,0.763,0.031
0,multilinear_6cat,158732.093,161792.663,0.814,0.801,0.814,0.801,0.811,0.020
0,multilinear_6cat-log,179668.035,184320.276,0.762,0.742,0.762,0.742,0.760,0.034
0,multilinear_6cat-log-minmax,179668.067,184321.194,0.762,0.742,0.762,0.742,0.760,0.034
0,multilinear_6cat-log-robscal,179667.986,184321.568,0.762,0.742,0.762,0.742,0.760,0.034
0,multilinear_6cat-log-std,179667.981,184320.095,0.762,0.742,0.762,0.742,0.760,0.034
0,multilinear_mul,158401.278,160902.696,0.815,0.803,0.815,0.803,0.811,0.018
0,multilinear_mul-log,179359.677,184283.089,0.763,0.742,0.763,0.742,0.759,0.031
0,multilinear_mul-log-minmax,179359.677,184283.089,0.763,0.742,0.763,0.742,0.759,0.031
0,multilinear_mul-log-robscal,179359.677,184283.089,0.763,0.742,0.763,0.742,0.759,0.031
0,multilinear_mul-log-std,179359.677,184283.089,0.763,0.742,0.763,0.742,0.759,0.031
0,multilinear_6cat_mul,158964.486,161809.227,0.814,0.801,0.814,0.801,0.811,0.020
0,multilinear_6cat_mul-log,180984.160,185557.019,0.759,0.738,0.759,0.738,0.756,0.034
0,multilinear_6cat_mul-log-minamx,180984.294,185557.052,0.759,0.738,0.759,0.738,0.756,0.034
0,multilinear_6cat_mul-log-robscal,180984.428,185556.916,0.759,0.738,0.759,0.738,0.756,0.034
0,multilinear_6cat_mul-log-std,180984.318,185557.908,0.759,0.738,0.759,0.738,0.756,0.034
0,multilinear_mul_vif,268090.804,275873.675,0.471,0.421,0.471,0.421,0.463,0.019
0,multilinear_mul_vif-log,205868.037,215379.645,0.688,0.647,0.688,0.647,0.684,0.018
0,multilinear_mul_vif-log-minmax,205868.037,215379.645,0.688,0.647,0.688,0.647,-1350299701080734826496.000,4050899103242203430912.000
0,multilinear_mul_vif-log-robscal,205870.195,65484060365069472.000,0.688,-32595258609893023678464.000,0.688,-32595258609893023678464.000,-178917935562872979456.000,536753806688619003904.000
0,multilinear_mul_vif-log-std,205897.078,65475411813072008.000,0.688,-32586649395013944868864.000,0.688,-32586649395013944868864.000,-205136055293031284736.000,615408165879093788672.000
0,multilinear_6_cat_mul_vif,280910.628,289005.896,0.419,0.365,0.419,0.365,0.414,0.017
0,multilinear_6_cat_mul_vif-log,206911.930,215214.231,0.685,0.648,0.685,0.648,0.682,0.022
0,multi-log-minmax,206911.930,215214.231,0.685,0.648,0.685,0.648,0.682,0.022
0,multilinear_6_cat_mul_vif-log-robscal,206911.930,215214.231,0.685,0.648,0.685,0.648,0.682,0.022
0,multilinear_6_cat_mul_vif-log-std,206911.930,215214.231,0.685,0.648,0.685,0.648,0.682,0.022
0,multilinear_noout,92016.100,94251.640,0.840,0.828,0.840,0.828,0.837,0.010
0,multilinear_noout-log,95522.816,98682.107,0.827,0.812,0.827,0.812,0.825,0.010
0,multilinear_noout-log-minmax,95522.816,98682.107,0.827,0.812,0.827,0.812,0.825,0.010
0,multilinear_noout-log-robscal,95522.816,98682.107,0.827,0.812,0.827,0.812,0.825,0.010
0,multilinear_noout-log-std,95522.819,98681.522,0.827,0.812,0.827,0.812,0.825,0.010
0,multilinear_6cat_noout,92155.843,94344.206,0.839,0.828,0.839,0.828,0.837,0.009
0,multilinear_6cat_noout-log,96168.696,99231.451,0.825,0.810,0.825,0.810,0.822,0.009
0,multilinear_6cat_noout-log-minamax,96168.671,99233.220,0.825,0.810,0.825,0.810,0.822,0.009
0,multilinear_6cat_noout-log-robscal,96168.659,99233.546,0.825,0.810,0.825,0.810,0.822,0.009
0,multilinear_6cat_noout-log-std,96168.759,99234.988,0.825,0.810,0.825,0.810,0.822,0.009
0,multilinear_mul_noout,92162.447,94556.865,0.839,0.827,0.839,0.827,0.837,0.010
0,multilinear_mul_noout-log,96307.638,99799.389,0.825,0.807,0.825,0.807,0.822,0.010
0,multilinear_mul_noout-log-minmax,96307.638,99799.389,0.825,0.807,0.825,0.807,0.822,0.010
0,multilinear_mul_noout-log-robscal,96307.638,99799.389,0.825,0.807,0.825,0.807,0.822,0.010
0,multilinear_mul_noout-log-std,96307.644,99798.468,0.825,0.807,0.825,0.807,0.822,0.010
0,multilinear_6cat_mul_noout,92318.462,94661.972,0.839,0.827,0.839,0.827,0.836,0.010
0,multilinear_6cat_mul_noout-log,97306.559,101009.498,0.821,0.803,0.821,0.803,0.818,0.010
0,multilinear_6cat_mul_noout-log-minmax,97306.452,101010.173,0.821,0.803,0.821,0.803,0.818,0.010
0,multilinear_6cat_mul_noout-log-robscal,97307.604,101010.839,0.821,0.803,0.821,0.803,0.818,0.010
0,multilinear_6cat_mul_noout-log-std,97306.712,101011.004,0.821,0.803,0.821,0.803,0.818,0.010
0,multilinear_mul_noout_vif,171841.965,168448.865,0.441,0.451,0.441,0.451,0.438,0.019
0,multilinear_mul_noout_vif-log,126898.886,126928.792,0.695,0.688,0.695,0.688,0.693,0.017
0,multilinear_out_mul_vif-log-minmax,126898.886,126928.792,0.695,0.688,0.695,0.688,0.693,0.017
0,multilinear_out_mul_vif-log-robscal,126898.886,126928.792,0.695,0.688,0.695,0.688,0.693,0.017
0,multilinear_noout_mul_vif-log-std,126898.886,126928.792,0.695,0.688,0.695,0.688,0.693,0.017
0,multilinear_6cat_noout_mul_vif,181916.355,180256.565,0.374,0.372,0.374,0.372,0.371,0.020
0,multilinear_6cat_noout_mul_vif-log,126800.634,126962.007,0.696,0.688,0.696,0.688,0.694,0.017
0,multilinear_6cat_noout_mul_vif-log-minmax,126800.634,126962.007,0.696,0.688,0.696,0.688,0.694,0.017
0,multilinear_6cat_noout_mul_vif-log-robscal,126800.634,126962.007,0.696,0.688,0.696,0.688,0.694,0.017
0,multilinear_6cat_noout_mul_vif-log-std,126800.634,126962.007,0.696,0.688,0.696,0.688,0.694,0.017
