OBJECTID,GEO_ID_TRT,TRACT_LBL,E19113069,M19113069
1,53033000100,Tract 000100,83222,12066
2,53033000200,Tract 000200,74818,12715
3,53033000300,Tract 000300,100263,7691
4,53033000401,Tract 000401,44810,23592
5,53033000402,Tract 000402,92266,17875
6,53033000500,Tract 000500,151591,12728
7,53033000600,Tract 000600,70781,18828
8,53033000700,Tract 000700,76103,31198
9,53033000800,Tract 000800,124107,20794
10,53033000900,Tract 000900,186591,24965
11,53033001000,Tract 001000,105500,20553
12,53033001100,Tract 001100,102768,19479
13,53033001200,Tract 001200,65833,22060
14,53033001300,Tract 001300,109919,38138
15,53033001400,Tract 001400,101848,18549
16,53033001500,Tract 001500,138295,35509
17,53033001600,Tract 001600,154792,16268
18,53033001701,Tract 001701,103409,20064
19,53033001702,Tract 001702,104083,23279
20,53033001800,Tract 001800,81204,27938
21,53033001900,Tract 001900,98421,35982
22,53033002000,Tract 002000,132396,31164
23,53033002100,Tract 002100,149125,15244
24,53033002200,Tract 002200,191486,35429
25,53033002400,Tract 002400,131597,20175
26,53033002500,Tract 002500,129938,14790
27,53033002600,Tract 002600,132596,17503
28,53033002700,Tract 002700,143036,36420
29,53033002800,Tract 002800,153980,21520
30,53033002900,Tract 002900,138750,6964
31,53033003000,Tract 003000,125043,21753
32,53033003100,Tract 003100,130129,14366
33,53033003200,Tract 003200,104979,29912
34,53033003300,Tract 003300,153942,19243
35,53033003400,Tract 003400,127337,9363
36,53033003500,Tract 003500,138750,36064
37,53033003600,Tract 003600,121632,29484
38,53033003800,Tract 003800,153000,22522
39,53033003900,Tract 003900,138125,21402
40,53033004000,Tract 004000,149940,31338
41,53033004100,Tract 004100,205371,14811
42,53033004200,Tract 004200,167670,16208
43,53033004301,Tract 004301,122019,31914
44,53033004302,Tract 004302,51607,32300
45,53033004400,Tract 004400,129167,19022
46,53033004500,Tract 004500,112917,34929
47,53033004600,Tract 004600,156429,16956
48,53033004700,Tract 004700,117243,20613
49,53033004800,Tract 004800,129295,27812
50,53033004900,Tract 004900,129297,27825
51,53033005000,Tract 005000,115000,26505
52,53033005100,Tract 005100,138494,8168
53,53033005200,Tract 005200,85859,54105
54,53033005301,Tract 005301,53578,9263
55,53033005302,Tract 005302,,
56,53033005400,Tract 005400,146125,34325
57,53033005600,Tract 005600,173322,12316
58,53033005700,Tract 005700,133555,30321
59,53033005801,Tract 005801,103547,6127
60,53033005802,Tract 005802,103558,49978
61,53033005900,Tract 005900,169131,29422
62,53033006000,Tract 006000,200294,57548
63,53033006100,Tract 006100,158625,39773
64,53033006200,Tract 006200,195263,26429
65,53033006300,Tract 006300,250000,
66,53033006400,Tract 006400,208147,58657
67,53033006500,Tract 006500,147625,44895
68,53033006600,Tract 006600,120455,35856
69,53033006700,Tract 006700,142188,20077
70,53033006800,Tract 006800,154135,34890
71,53033006900,Tract 006900,147066,23571
72,53033007000,Tract 007000,156546,46035
73,53033007100,Tract 007100,106912,50736
74,53033007200,Tract 007200,176571,28022
75,53033007300,Tract 007300,138804,50382
76,53033007401,Tract 007401,91726,56915
77,53033007402,Tract 007402,117592,33871
78,53033007500,Tract 007500,115370,44293
79,53033007600,Tract 007600,104408,47757
80,53033007700,Tract 007700,127308,21492
81,53033007800,Tract 007800,183611,41799
82,53033007900,Tract 007900,98534,7751
83,53033008001,Tract 008001,187806,70660
84,53033008002,Tract 008002,79926,28625
85,53033008100,Tract 008100,137188,25648
86,53033008200,Tract 008200,129483,26121
87,53033008300,Tract 008300,126944,37184
88,53033008400,Tract 008400,76429,39424
89,53033008500,Tract 008500,98906,19797
90,53033008600,Tract 008600,61359,40873
91,53033008700,Tract 008700,114531,36404
92,53033008800,Tract 008800,119313,13143
93,53033008900,Tract 008900,105461,29294
94,53033009000,Tract 009000,77850,12156
95,53033009100,Tract 009100,35547,9715
96,53033009200,Tract 009200,65000,27611
97,53033009300,Tract 009300,113250,14026
98,53033009400,Tract 009400,69209,7900
99,53033009500,Tract 009500,141360,25834
100,53033009600,Tract 009600,155545,30998
101,53033009701,Tract 009701,155234,36640
102,53033009702,Tract 009702,143807,22027
103,53033009800,Tract 009800,131418,24225
104,53033009900,Tract 009900,101882,12648
105,53033010001,Tract 010001,76705,23197
106,53033010002,Tract 010002,70491,7923
107,53033010100,Tract 010100,96433,33140
108,53033010200,Tract 010200,128068,11485
109,53033010300,Tract 010300,84861,20781
110,53033010401,Tract 010401,54453,7125
111,53033010402,Tract 010402,85659,3609
112,53033010500,Tract 010500,121777,25978
